time,seconds_elapsed,relativeAltitude,pressure
1640170397819530500,737.0095305175781,-79.8231201171875,834.3558349609375
1640170397859530500,737.0495305175781,-79.82568359375,834.3560791015625
1640170397899530500,737.0895305175782,-79.828369140625,834.3563232421875
1640170397939530500,737.1295305175781,-79.8310546875,834.3564453125
1640170397979530500,737.1695305175781,-79.8310546875,834.3564453125
1640170398019530500,737.2095305175782,-79.8310546875,834.3564453125
1640170398059530500,737.2495305175781,-79.8363037109375,834.3570556640625
1640170398099530500,737.2895305175781,-79.8363037109375,834.357177734375
1640170398139530500,737.3295305175782,-79.8389892578125,834.357421875
1640170398179530500,737.3695305175781,-79.841552734375,834.357666015625
1640170398219530500,737.4095305175781,-79.841552734375,834.3577270507812
1640170398259530500,737.4495305175781,-79.84423828125,834.35791015625
1640170398299530500,737.4895305175781,-79.8468017578125,834.3582763671875
1640170398339530500,737.5295305175781,-79.8468017578125,834.3582763671875
1640170398379530500,737.5695305175781,-79.8468017578125,834.3582763671875
1640170398419530500,737.6095305175782,-79.8468017578125,834.3582763671875
1640170398459530500,737.6495305175781,-79.8468017578125,834.3582763671875
1640170398499530500,737.6895305175781,-79.8468017578125,834.3582763671875
1640170398539530500,737.7295305175782,-79.84423828125,834.35791015625
1640170398579530500,737.7695305175781,-79.841552734375,834.3577270507812
1640170398619530500,737.8095305175781,-79.841552734375,834.357666015625
1640170398659530500,737.8495305175782,-79.841552734375,834.357666015625
1640170398699530500,737.8895305175781,-79.841552734375,834.357666015625
1640170398739530500,737.9295305175781,-79.841552734375,834.357666015625
1640170398779530500,737.9695305175782,-79.841552734375,834.357666015625
1640170398819530500,738.0095305175781,-79.841552734375,834.357666015625
1640170398859530500,738.0495305175781,-79.841552734375,834.357666015625
1640170398899530500,738.0895305175782,-79.841552734375,834.357666015625
1640170398939530500,738.1295305175781,-79.841552734375,834.3577270507812
1640170398979530500,738.1695305175781,-79.841552734375,834.3577270507812
1640170399019530500,738.2095305175782,-79.841552734375,834.3577270507812
1640170399059530500,738.2495305175781,-79.8389892578125,834.357421875
1640170399099530500,738.2895305175781,-79.8389892578125,834.357421875
1640170399139530500,738.3295305175782,-79.8389892578125,834.357421875
1640170399179530500,738.3695305175781,-79.8389892578125,834.357421875
1640170399219530500,738.4095305175781,-79.8389892578125,834.357421875
1640170399259530500,738.4495305175781,-79.8389892578125,834.357421875
1640170399299530500,738.4895305175781,-79.8389892578125,834.357421875
1640170399339530500,738.5295305175781,-79.8389892578125,834.357421875
1640170399379530500,738.5695305175781,-79.8389892578125,834.357421875
1640170399419530500,738.6095305175782,-79.8389892578125,834.357421875
1640170399459530500,738.6495305175781,-79.8389892578125,834.357421875
1640170399499530500,738.6895305175781,-79.8468017578125,834.3582763671875
1640170399539530500,738.7295305175782,-79.8468017578125,834.3582763671875
1640170399579530500,738.7695305175781,-79.8494873046875,834.3583374023438
1640170399619530500,738.8095305175781,-79.854736328125,834.3590087890625
1640170399659530500,738.8495305175782,-79.857421875,834.3592529296875
1640170399699530500,738.8895305175781,-79.857421875,834.359375
1640170399739530500,738.9295305175781,-79.860107421875,834.3594360351562
1640170399779530500,738.9695305175782,-79.860107421875,834.3594360351562
1640170399819530500,739.0095305175781,-79.860107421875,834.3596801757812
1640170399859530500,739.0495305175781,-79.8653564453125,834.3599853515625
1640170399899530500,739.0895305175782,-79.8680419921875,834.3602905273438
1640170399939530500,739.1295305175781,-79.8680419921875,834.3603515625
1640170399979530500,739.1695305175781,-79.87060546875,834.3605346679688
1640170400019530500,739.2095305175782,-79.87060546875,834.3606567382812
1640170400059530500,739.2495305175781,-79.87060546875,834.3607177734375
1640170400099530500,739.2895305175781,-79.87060546875,834.3607177734375
1640170400139530500,739.3295305175782,-79.87060546875,834.3607177734375
1640170400179530500,739.3695305175781,-79.87060546875,834.3607177734375
1640170400219530500,739.4095305175781,-79.87060546875,834.3607177734375
1640170400259530500,739.4495305175781,-79.87060546875,834.3607177734375
1640170400299530500,739.4895305175781,-79.87060546875,834.3607177734375
1640170400339530500,739.5295305175781,-79.873291015625,834.3609619140625
1640170400379530500,739.5695305175781,-79.8759765625,834.3610229492188
1640170400419530500,739.6095305175782,-79.8759765625,834.361083984375
1640170400459530500,739.6495305175781,-79.8759765625,834.361083984375
1640170400499530500,739.6895305175781,-79.8759765625,834.3611450195312
1640170400539530500,739.7295305175782,-79.8785400390625,834.361328125
1640170400579530500,739.7695305175781,-79.8812255859375,834.36181640625
1640170400619530500,739.8095305175781,-79.886474609375,834.3621215820312
1640170400659530500,739.8495305175782,-79.886474609375,834.3622436523438
1640170400699530500,739.8895305175781,-79.886474609375,834.3622436523438
1640170400739530500,739.9295305175781,-79.886474609375,834.3622436523438
1640170400779530500,739.9695305175782,-79.886474609375,834.3622436523438
1640170400819530500,740.0095305175781,-79.88916015625,834.3624267578125
1640170400859530500,740.0495305175781,-79.88916015625,834.3624267578125
1640170400899530500,740.0895305175782,-79.88916015625,834.3624267578125
1640170400939530500,740.1295305175781,-79.88916015625,834.3624267578125
1640170400979530500,740.1695305175781,-79.88916015625,834.3624267578125
1640170401019530500,740.2095305175782,-79.88916015625,834.3624267578125
1640170401059530500,740.2495305175781,-79.88916015625,834.3624267578125
1640170401099530500,740.2895305175781,-79.88916015625,834.3624267578125
1640170401139530500,740.3295305175782,-79.88916015625,834.3624267578125
1640170401179530500,740.3695305175781,-79.88916015625,834.3624267578125
1640170401219530500,740.4095305175781,-79.886474609375,834.3623657226562
1640170401259530500,740.4495305175781,-79.886474609375,834.3622436523438
1640170401299530500,740.4895305175781,-79.886474609375,834.3621215820312
1640170401339530500,740.5295305175781,-79.8812255859375,834.36181640625
1640170401379530500,740.5695305175781,-79.8785400390625,834.3613891601562
1640170401419530500,740.6095305175782,-79.8759765625,834.3611450195312
1640170401459530500,740.6495305175781,-79.8759765625,834.3611450195312
1640170401499530500,740.6895305175781,-79.8759765625,834.3611450195312
1640170401539530500,740.7295305175782,-79.8759765625,834.3611450195312
1640170401579530500,740.7695305175781,-79.8759765625,834.3611450195312
1640170401619530500,740.8095305175781,-79.8759765625,834.3611450195312
1640170401659530500,740.8495305175782,-79.8759765625,834.3611450195312
1640170401699530500,740.8895305175781,-79.8759765625,834.3611450195312
1640170401739530500,740.9295305175781,-79.8759765625,834.3611450195312
1640170401779530500,740.9695305175782,-79.8759765625,834.3611450195312
1640170401819530500,741.0095305175781,-79.8759765625,834.361083984375
1640170401859530500,741.0495305175781,-79.8759765625,834.361083984375
1640170401899530500,741.0895305175782,-79.873291015625,834.3609619140625
1640170401939530500,741.1295305175781,-79.873291015625,834.3609619140625
1640170401979530500,741.1695305175781,-79.873291015625,834.3609619140625
1640170402019530500,741.2095305175782,-79.873291015625,834.3609619140625
1640170402059530500,741.2495305175781,-79.873291015625,834.3609619140625
1640170402099530500,741.2895305175781,-79.873291015625,834.3609619140625
1640170402139530500,741.3295305175782,-79.873291015625,834.3609619140625
1640170402179530500,741.3695305175781,-79.8653564453125,834.3600463867188
1640170402219530500,741.4095305175781,-79.8653564453125,834.3599853515625
